handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
Hadoop_Training,Anik Waikar,709,491,1,1,15,0,0,27
kapoorsunny,Abhishek Kapoor,1736,19523,1,1,230,175,34,694
christianbeil,Christian Beil,1830,1306,0,1,1162,167,15,288
kojinoguchi,Koji Noguchi,1781,5,0,1,138,62,3,136
santoshrau,Santosh Rau,1711,615,1,1,125,67,15,201
dataminelab,DataMine Lab,1289,57,1,1,505,2,54,758
HadoopLang,Jianwen Lang,183,0,0,0,15,3,0,4
joealex,Joe Alex,1989,327,1,1,201,1,29,237
splicemachine,Splice Machine,577,417,1,1,682,2,29,403
morozumi_h,"MOROZUMI,Hiroyuki",1677,14380,1,1,1473,1047,59,952
HUGPhilly,Hadoop Users Group,1704,0,0,0,0,0,2,29
charmalloc,Joe Stein,1786,269,1,1,42,2,5,94
Thenirajpandey,Niraj Pandey #HDL,1540,6798,1,1,353,1960,6,516
lucmichalski,Luc Michalski,884,12882,1,1,1235,3,19,429
davidinbar,davidinbar,2120,515,1,1,773,0,40,523
ya_kenzou,Kenzou Yamada,1733,6428,0,1,1929,4349,42,995
shun0102,三上俊輔,2013,4224,1,1,813,1276,123,988
gethue,Hue Team,471,706,1,1,507,18,15,516
avalonalex,Yuhan Hao,1886,6148,1,1,280,1984,30,586
JamesMorle,James Morle,1887,1043,0,1,132,13,48,1059
bklalor,Brian Lalor,2208,1345,1,1,1702,59,31,610
JethroData,Eli Singer,576,126,0,1,851,9,16,260
Zettaset,Zettaset,1490,819,1,1,438,32,30,414
comsysto,comSysto GmbH,1357,758,1,1,321,110,21,316
mubarakseyed,Mubarak Seyed,1844,382,1,1,889,4,10,193
Brad2435150,Brad Severtson,1926,49,1,1,222,0,1,99
don9z,Chris Zheng,1881,16687,1,1,319,60,36,886
dkfj,プログラマになりたい,1913,5233,0,1,374,50,56,901
RajeevTrikha,Rajeev Trikha,1988,778,1,1,551,2,6,241
RolandThaler,Roland Thaler,1430,2271,1,1,567,701,27,529
sawjd22,Subash D'Souza,1728,7032,1,1,361,4,25,558
hadoopcanada,hadoop canada,1173,2,0,1,6,0,1,15
krisgeus,Kris Geusebroek,1731,1102,1,1,361,8,38,322
apachehadoop,Apache Hadoop,1377,37,0,0,0,0,0,44
amazedsaint,Anoop Madhusudanan,2098,9691,1,1,3129,598,254,3420
tstechly,Tomasz Stechly,2036,266,0,1,318,382,18,214
kitora_naoki,"Kitora, Naoki",1794,2184,0,1,489,32,22,354
robdielemans,Rob Dielemans,2220,956,1,1,323,17,21,310
XebiaUniversity,Xebia University,847,1085,1,1,1998,1,34,758
MapR_EMEA,MapR EMEA,472,254,1,1,19,1,11,165
pateljay3001,Jay Patel,2192,80,1,1,84,0,7,180
Do_ravensbergen,Dominique Ravensberg,1472,102,1,1,1101,0,7,833
PrattShane,Shane Pratt,1774,1916,1,1,627,6,22,437
shezgone,용스,1380,3726,0,1,2135,3,10,2183
nimbusgo,Nimbus Goehausen,1501,742,1,1,149,90,5,79
serverinfo,serverinfo,1510,922,1,1,1901,18,84,1227
shawndolley,Shawn Dolley,1680,468,0,1,157,6,22,223
Norrisjack,Jack Norris,1876,57,0,1,31,1,22,192
noiano,Marco Didonna,1772,3414,1,1,777,647,24,253
t_gra,Alexey Tigarev,1927,640,1,1,348,210,12,355
mkbubba,Manish Katyal,1483,804,1,1,291,74,20,282
quarterkota,Kotaro Tsukui,1793,7001,1,1,993,345,68,866
migrate2cloud,migrate2cloud,1875,1142,1,1,1990,1,54,781
MarkSlusar,Mark Slusar,961,418,0,1,615,32,10,273
markcusack,Mark Cusack,1901,330,0,1,92,5,4,127
takemikamin,みかにゃん♪,1546,50415,0,1,1080,5498,68,1268
eandrejko,eandrejko,2042,60,1,1,210,8,20,133
